id,work_order_id,technician_id,created_at,note_type,content
21,23,6,2026-02-12 09:00:00,arrival,"Called Mr O'Brien 30 minutes prior as requested. Elderly gentleman -- hearing aid, speaks clearly. Showed me to ceiling access in hallway. Complaints: bedrooms cool fine but living room stays warm."
22,23,6,2026-02-12 10:30:00,diagnosis,"Found the problem -- flex duct to living room supply has pushed off the collar. Approximately 2.5m section disconnected. Cool air dumping into ceiling space instead of living room. Also, living room zone damper only 40% open (should be 80%). Return air filter absolutely packed with pet hair -- Mr O'Brien has two cats."
23,23,6,2026-02-12 12:30:00,departure,"Reconnected duct with hose clamp and foil tape. Adjusted damper. Cleaned filter -- showed Mr O'Brien how to access and clean it (every 6 weeks with cats). Living room now cooling properly -- measured 14.5C supply vs 19C previously. Mr O'Brien very happy -- ""best it's worked in months."""
24,28,4,2026-02-28 17:00:00,arrival,On site Woolloongabba Day Surgery after final procedure. Theatre 1 clear. Staff report room temperature drifting up to 23C during 3-hour procedures -- exceeds AS/NZS 1386.5 limit of 22C. Facility manager present.
25,28,4,2026-02-28 18:00:00,diagnosis,"Room temp sensor reading 20.5C -- my reference thermometer shows 22.1C. Sensor calibration has drifted 1.6C low. System thinks room is 20.5C so is not calling for more cooling. Also, supply air damper actuator (Belimo LF24-SR) is sluggish -- 45 seconds to move from closed to open (should be <15 seconds). During long procedures with additional heat load from equipment and staff (~2.5kW), the slow response means temp overshoots before correction occurs."
26,28,4,2026-02-28 19:30:00,departure,Sensor recalibrated -- now within 0.2C of reference. New damper actuator installed -- 8 second response time. Adjusted PID control loop (added derivative term). Ran 2-hour simulated load test -- room held 20.8-21.2C throughout. Facility manager satisfied. AS/NZS 1386.5 compliance confirmed.
27,21,4,2026-02-05 08:00:00,arrival,On site Hemmant Data Centre for quarterly HVAC service. NOC confirmed backup cooling online -- primary can be taken offline for maintenance. Escorted to roof for Daikin ACAS140 inspection.
28,21,4,2026-02-05 14:00:00,departure,"Quarterly service complete. All parameters nominal. Filters replaced, belt tension adjusted. NOC confirmed primary cooling restored -- supply air 17.8C. Departing site. Full details in WO resolution."
29,25,8,2026-02-18 09:00:00,arrival,On site Murarrie Bakery. 48hr notice was provided. Production floor active -- escorted to Coolroom 1 compressor. Can hear increased vibration from 3 metres away. Bakery staff confirm it has been getting louder over past 2 weeks.
30,25,8,2026-02-18 11:00:00,departure,Vibration source identified -- loose mounting bolts and deteriorated anti-vibration mounts. Retorqued bolts and replaced 2 mounts. Vibration readings back near baseline. Compressor operation normal -- no bearing issues. Recorded new baseline for future comparison.
31,34,1,2026-01-22 09:00:00,arrival,On site Southbank Hotel Kitchen B1. Coolroom 1 condenser scheduled for quarterly clean. Kitchen manager Tony provided access -- condenser located behind coolroom on external wall.
32,34,1,2026-01-22 11:00:00,departure,Condenser deep-cleaned -- heavy grease from kitchen exhaust. Discharge pressure dropped from 17.5 bar to 15.2 bar post-clean. Replaced fan capacitor preventively. Installed mesh screen on intake. Briefed Tony on monthly wipe-down between cleans. Job complete.
