id,customer_id,equipment_id,title,description,priority,status,technician_id,created_date,scheduled_date,completed_date,estimated_hours,actual_hours,diagnosis,resolution
11,9,17,Food court exhaust fan vibration,Centre management reports excessive vibration from ABB ACS580 VSD-driven exhaust fan above Food Court B. Visible shaking of mounting bracket. After-hours work required (9pm-6am). Noise complaints from adjoining tenants.,high,open,,2026-03-14,,,3.0,,,
12,10,18,Air conditioning service -- Block B classrooms,Routine annual service for 8x Fujitsu split systems in Block B classrooms. Schedule during school holidays (28 Mar - 11 Apr). Blue card required for all personnel on site.,low,assigned,7,2026-03-07,2026-03-30,,6.0,,,
13,11,14,Coolroom door seal deteriorating,Door seal on Coolroom 1 cracked and letting warm air in. Compressor running 18hrs/day (normally 12hrs). Needs 48hr scheduling notice per site requirements. Seal material: 3m of standard coolroom gasket.,medium,assigned,1,2026-03-12,2026-03-16,,2.0,,,
14,12,15,Annual AC service -- heritage property,Annual service on Carrier 42VH024 ducted system. Heritage property -- no modifications without council approval. Under-floor ducting access via floor grilles only. Premium client -- schedule at their convenience.,low,open,,2026-03-05,,,3.0,,,
15,7,12,Server hall temp deviation alert,"NOC alert: Server Hall 1 supply air temp 22C, setpoint 18C. 4C deviation on Daikin ACAS140 roof unit. Critical -- servers may thermal throttle at 25C. NOC has switched to backup cooling but capacity is limited.",high,in_progress,4,2026-03-14,2026-03-14,,4.0,,Supply air temp 4C above setpoint. Measured subcooling 2K (should be 6-8K per Daikin spec). Superheat 12K (should be 8-10K). Suspect refrigerant undercharge or failing EEV. EEV responding to controller commands but hunting between 15-85% open. Compressor discharge temp 78C (within limits). Ambient 31C.,
16,1,3,UPS annual service -- basement,Annual preventive maintenance on Eaton UPS 20kVA. Battery string test and transfer test required. Building management to notify tenants of potential 10-second power interruption during transfer test.,low,completed,4,2026-01-20,2026-01-25,2026-01-25,3.0,2.5,All 40 battery cells tested -- specific gravity 1.265-1.275 (nominal). Cell voltages 13.2-13.4V (acceptable range). Internal resistance within manufacturer limits. Transfer test: switchover in 6ms (spec: <10ms). Input/output power measurements within 2% of rated. Minor dust accumulation on intake filters.,"Completed annual service: (1) Battery string test -- all cells pass, estimated remaining life 18 months. (2) Transfer test -- 6ms switchover, within spec. (3) Cleaned intake filters and fan assemblies. (4) Torque-checked all bus bar connections to 25Nm. (5) Updated maintenance log. Firmware v3.2 current -- no updates available. Next service due 2027-01-25. Recommend budgeting for battery replacement Q3 2027."
17,4,7,Coolroom 3 quarterly service,Routine quarterly maintenance on Bitzer 4NES-20Y coolroom compressor. Part of preventive maintenance agreement.,low,completed,1,2026-01-15,2026-01-18,2026-01-18,2.0,2.0,"All parameters within normal range. Suction pressure 3.2 bar (R404A, evap -6C). Discharge pressure 15.8 bar (condensing 38C). Superheat 7K, subcooling 5K -- both acceptable. Oil level at sight glass midpoint. No unusual vibration or noise. Door seal in good condition.","Completed quarterly service: (1) Checked refrigerant pressures -- nominal. (2) Cleaned condenser coils with nitrogen purge. (3) Checked oil level and quality -- clear, no contamination. (4) Tested safety cutouts -- HP cutout at 25 bar, LP cutout at 0.5 bar, both correct. (5) Checked defrost cycle -- initiating correctly at 6hr intervals. (6) Cleaned evaporator drain pan. Unit operating efficiently. Next service due 2026-04-18."
18,6,10,Emergency lighting battery replacement -- 6 units,Six emergency lighting units identified in Q4 test as having degraded batteries. Requires NiCd battery pack replacement. Must maintain AS/NZS 2293.2 compliance -- 90 minute emergency duration.,medium,completed,2,2026-02-15,2026-02-18,2026-02-18,3.0,3.5,"Tested all 24 emergency lighting units. Six units (corridors 2, 4, 7; stairwells B, D; reception) showing battery duration under 60 minutes -- below 90-minute AS/NZS 2293.2 requirement. Battery packs are original 2022 install -- 4 years old, expected 3-5 year life. Remaining 18 units tested at 95-120 minutes -- acceptable.",Replaced 6x NiCd battery packs (Legrand part 6901 20). Conducted full discharge test on each replaced unit -- all achieving 105-115 minutes duration. Updated emergency lighting test register. Remaining 18 units due for next test Q1 2026 (scheduled WO-5). Recommended bulk battery replacement programme for remaining units in 2027 to avoid piecemeal failures. Compliance certificate issued.
19,3,8,Annual hot water service,Annual service on Rinnai Infinity 26 continuous flow HWS. Customer reported occasional temperature fluctuation during shower -- drops 2-3C then recovers.,low,completed,3,2026-02-01,2026-02-05,2026-02-05,1.5,1.5,"Temperature fluctuation caused by minimum flow rate not being met when shower mixer partially open. Measured flow rate at fluctuation point: 2.8L/min (unit minimum: 2.4L/min -- borderline). Inlet water temp 18C, outlet achieving 50C at full flow. Heat exchanger clean -- no scale buildup. Gas pressure 2.75kPa (natural gas, within 2.5-3.0kPa spec). Flue gas CO reading 28ppm (limit 200ppm).","Completed annual service: (1) Flushed heat exchanger with descaler -- minimal scale found. (2) Cleaned inlet water filter -- minor sediment. (3) Tested gas pressure -- 2.75kPa, within spec. (4) Combustion analysis -- CO 28ppm, CO2 8.2%, O2 7.1% -- all within limits. (5) Temperature fluctuation is inherent to unit at low flow rates -- advised customer to open mixer fully before adjusting. (6) Tested PTR valve -- lifting and reseating correctly at 1000kPa. Unit in good condition. Next service due 2027-02-05."
20,5,9,AC diagnostic -- grinding noise investigation,Follow-up diagnostic for previously reported grinding noise in Mitsubishi MSZ-AP25VG. Noise reported only in heating mode. Resident available Saturday morning.,medium,completed,4,2026-02-20,2026-02-22,2026-02-22,2.0,1.5,"Indoor fan barrel (cross-flow fan) has accumulated dust/lint causing imbalance. Fan bearing showing early signs of wear -- slight play detected. Noise amplified in heating mode because fan runs at higher RPM for heat distribution. Compressor operation normal -- outdoor unit pressures R32: suction 1.0MPa, discharge 2.8MPa (heating mode, 18C ambient).","Removed and cleaned indoor fan barrel -- significant dust/lint accumulation on blades causing rotational imbalance. Cleaned evaporator coil with coil cleaner and water rinse. Lubricated fan motor bearing with synthetic bearing grease. Noise eliminated at all fan speeds. Advised resident: (1) clean filters monthly (showed how), (2) annual professional clean recommended to prevent recurrence. Note: if noise returns within 6 months, fan motor replacement will be needed (part cost ~$180 + labour)."
21,7,12,Server hall HVAC quarterly service,Quarterly preventive maintenance on Daikin ACAS140 roof unit serving Server Hall 1. Critical infrastructure -- coordinate with NOC for any shutdowns. Backup cooling must be online before work begins.,medium,completed,4,2026-02-01,2026-02-05,2026-02-05,3.0,3.0,"Comprehensive check completed. Refrigerant R410A: suction pressure 8.2 bar, discharge 26.5 bar (ambient 28C). Subcooling 6K, superheat 9K -- both nominal. Compressor current draw 18.2A (rated 19.5A). EEV stepping correctly through range. Supply air 17.8C at setpoint 18C. Return air 24C. Condenser coils clean. All filters replaced. Belt tension checked on supply fan -- slight looseness.","Completed quarterly service: (1) Replaced 4x air filters (FILT-20x20). (2) Checked refrigerant charge -- operating parameters nominal. (3) Adjusted supply fan belt tension to 10mm deflection per Daikin spec. (4) Cleaned condensate drain and trap. (5) Tested all safety cutouts -- HP, LP, and anti-freeze all functioning. (6) Verified BMS communication -- all sensor readings matching handheld measurements within 0.5C. (7) NOC confirmed stable 18C supply air post-service. Next quarterly service due 2026-05-05."
22,15,22,AC not working -- baby in house,Customer called in distress -- split system AC in master bedroom stopped working completely. 35C day forecast. Has a 4-month-old baby at home. No cooling anywhere in house. Requested immediate attendance.,emergency,open,,2026-03-14,,,2.0,,,
23,8,13,Ducted AC annual service,Annual service on Daikin FDYAN100 ducted system. Customer reports uneven cooling -- bedrooms OK but living area warm. Elderly resident -- schedule morning for cooler access to ceiling space.,medium,completed,6,2026-02-10,2026-02-12,2026-02-12,3.0,3.5,"Inspected ducting in ceiling space. Found 2.5m section of flex duct to living room supply disconnected from collar -- pushed off, not torn. Living room damper also only 40% open (should be 80%). Remaining zone dampers correctly set. Return air grille filter heavily clogged with pet hair (customer has two cats). Outdoor unit R410A: suction 7.8 bar, discharge 25.1 bar -- nominal. Compressor operation normal.","Reconnected flex duct to living room supply collar -- secured with hose clamp and foil tape per AS/NZS 4254.1. Adjusted living room zone damper from 40% to 80% open. Cleaned return air filter -- heavy pet hair accumulation. Checked all 6 supply registers for airflow -- living room now receiving proper airflow. Measured supply air temps: bedrooms 14.2C, living room 14.5C (previously 19C). Customer confirmed immediate improvement. Recommended: filter cleaning every 6 weeks due to pets. Next full service due 2027-02-12."
24,2,5,Hot water tempering valve replacement,Guest complaint: shower water temperature inconsistent on Level 2. Tempering valve suspected. Rheem Stellar 360 system. Must complete before 3pm checkout time.,medium,completed,3,2026-02-08,2026-02-10,2026-02-10,2.0,2.5,Tempering valve (TMV) outlet temperature fluctuating between 42C and 58C -- exceeds AS 3498 maximum of 50C at sanitary fixtures. TMV thermostatic element sluggish -- not responding to temperature changes within 3 seconds as required. Valve body shows mineral scaling. Unit installed 2023 -- premature failure possibly due to high water hardness (tested at 280mg/L CaCO3).,"Replaced Rheem tempering valve (RTV-01) with upgraded model rated for high-hardness water. New valve outlet temperature stable at 48C across flow range 4-15L/min. Tested at 3 fixtures on Level 2 -- all within AS 3498 limit (45-50C). Flushed hot water line to clear any scale fragments. Advised hotel maintenance: (1) water hardness is high -- consider water softener for hot water system, (2) TMV should be tested quarterly per AS 3498, (3) replacement cycle likely 3-4 years at current water quality."
25,11,14,Coolroom compressor vibration check,Bakery staff report increased vibration from Coolroom 1 compressor. Still operational but louder than usual. 48hr notice provided as per site requirements.,low,completed,8,2026-02-15,2026-02-18,2026-02-18,2.0,1.5,"Vibration readings: axial 2.8mm/s, radial 4.2mm/s (ISO 10816 Zone B -- acceptable but elevated, Zone C threshold is 7.1mm/s). Compared to baseline from commissioning: axial was 1.2mm/s, radial was 2.0mm/s -- approximately doubled. Source: compressor mounting bolts -- 2 of 4 have loosened, allowing slight movement on anti-vibration mounts. Refrigerant operation normal, no bearing noise detected with stethoscope.","Retorqued all 4 compressor mounting bolts to 45Nm. Replaced 2 anti-vibration mounts (rubber deteriorated, hardness Shore A 85 -- original spec Shore A 65). Post-fix vibration: axial 1.4mm/s, radial 2.2mm/s -- back near baseline. Recorded new baseline readings in maintenance log. Recommended: vibration check at every quarterly service to monitor trend. If readings exceed 4.5mm/s radial, bearing investigation warranted."
26,13,19,Warehouse HVAC not starting,Warehouse Unit 1 Daikin ACAS250 fails to start. Display shows error code E7 (PCB communication fault). Staff report power outage last weekend -- unit has not started since.,medium,open,,2026-03-10,,,3.0,,,
27,16,23,AC ducted system annual service,Annual service on Fujitsu ARTG36LHTA ducted system. Heritage building -- no external modifications. Access through existing ceiling hatches only.,low,completed,6,2026-02-20,2026-02-25,2026-02-25,2.0,2.0,"All parameters nominal. R410A: suction 8.0 bar, discharge 25.8 bar (ambient 26C). Subcooling 5K, superheat 8K. Compressor current 12.1A (rated 13.2A). Supply air 14.2C. Return air 25C. Ductwork in good condition -- no disconnections or damage visible. Filters moderately dirty.","Completed annual service: (1) Replaced air filters (2x FILT-20x20). (2) Cleaned indoor coil with foam cleaner. (3) Cleaned outdoor coil with garden hose -- moderate dirt buildup from street dust. (4) Checked condensate drain -- flowing freely. (5) Tested all modes -- heating, cooling, dry, fan only. (6) Checked remote control batteries -- replaced (AAA x2). Heritage building constraints noted -- no issues with current installation. Next service 2027-02-25."
28,17,24,Theatre HVAC calibration,Theatre temperature drifting during procedures -- staff report room feels warm midway through 3-hour procedures. Daikin FDYAN140 precision cooling. Critical: theatre temps must stay 20-22C per AS/NZS 1386.5. Work outside procedure hours only.,high,completed,4,2026-02-25,2026-02-28,2026-02-28,3.0,2.5,"Room temp sensor calibration drift: reading 20.5C when actual was 22.1C (1.6C error). Supply air damper actuator sluggish -- taking 45 seconds to reach setpoint position (should be <15 seconds). During extended procedures, heat load from equipment and personnel (approx 2.5kW additional) not being compensated fast enough. Cooling capacity of unit adequate -- 14kW vs calculated peak load 11kW.","Recalibrated room temperature sensor -- offset correction applied, now reading within 0.2C of reference thermometer. Replaced supply air damper actuator (Belimo LF24-SR) -- new actuator responding in 8 seconds. Adjusted PID parameters: P=8, I=120s, D=30s (was P=5, I=180s, D=0 -- derivative term was disabled). Post-calibration test over 2 hours with simulated heat load: room held 20.8-21.2C throughout (within AS/NZS 1386.5 spec of 20-22C). Facility manager confirmed satisfactory performance. Next calibration check due 2026-08-28 (6-month interval recommended for critical spaces)."
29,18,26,Split AC not heating,"Customer reports Mitsubishi split in living room blowing room-temperature air when set to heat. Outdoor unit fan running but compressor not engaging. Unit is 3.5 years old, within warranty.",medium,completed,6,2026-02-12,2026-02-14,2026-02-14,2.0,1.5,"Outdoor unit error code: blinking LED pattern indicates 4-way valve fault. Tested 4-way valve solenoid coil -- open circuit (infinity resistance, should be 15-25 ohms). Valve mechanically stuck in cooling position. Compressor itself operational -- checked windings R-S 2.1 ohm, S-T 2.1 ohm, R-T 4.2 ohm (balanced). Capacitor tested 42.8uF (rated 45uF -- within 10% tolerance).","Replaced 4-way reversing valve solenoid coil (Mitsubishi part MSZ-AP35-4WV). Tested valve operation -- switching correctly between heating and cooling. Heating mode: outdoor coil functioning as evaporator, suction pressure 0.6MPa R32 (correct for 14C ambient). Indoor supply air reaching 42C within 5 minutes. All modes tested -- heating, cooling, dry, auto. Unit is within warranty -- parts claimed under Mitsubishi warranty (auth code MW-2026-4421). Labour charged to customer."
30,20,28,Rooftop HVAC replacement quote,Body corporate requesting quote to replace decommissioned Actron ESP Platinum rooftop unit. Common area has been without AC since December. Need working at heights permit for roof access. Quote to include new unit recommendation and install labour.,low,open,,2026-03-01,,,2.0,,,
31,19,27,Hot water PTR valve weeping,New build -- customer noticed small amount of water dripping from PTR valve discharge pipe. Builder warranty may apply. Rheem Stellar 330 installed June 2025.,low,completed,3,2026-02-18,2026-02-20,2026-02-20,1.0,1.0,PTR valve discharging approximately 200mL per heat cycle (normal is <50mL). Valve seat shows minor pitting -- likely caused by debris during initial install. Inlet water pressure measured at 620kPa (normal). Thermal expansion causing slight over-pressure during heating -- no expansion control valve fitted (required per AS/NZS 3500.4 Clause 8.8 for mains pressure systems).,"Replaced PTR valve (Reliance PTR-15, Part #PTR-15). Installed thermal expansion control valve (Reliance Model 309) on cold inlet as required by AS/NZS 3500.4 -- should have been fitted during original install. This is a builder defect -- documented and photographed for customer's warranty claim with Metricon. Post-fix: no discharge during 3 heat cycles observed. System pressure stable at 600kPa hot, 580kPa cold."
32,9,16,Food court rooftop AC service,Scheduled maintenance on Actron ESP Plus rooftop unit. After-hours access only (9pm-6am). Escorted by centre security.,medium,completed,6,2026-01-25,2026-01-28,2026-01-28,3.0,3.5,"R410A pressures nominal for night conditions (ambient 22C): suction 7.5 bar, discharge 22.1 bar. Subcooling 4K (slightly low -- spec 5-7K). Compressor running well. Supply fan belt showing cracking -- due for replacement. Condenser coil moderately dirty. Economiser damper actuator stiff -- not fully closing.","After-hours service completed 9:30pm-1:00am: (1) Cleaned condenser coil with coil cleaner -- pressure wash. (2) Replaced supply fan belt (BELT-A68) -- old belt showing surface cracks, estimated 2 months from failure. (3) Adjusted economiser damper actuator -- freed with silicone lubricant, now fully closing. Added 300g R410A to bring subcooling to 6K (within spec). (4) Replaced return air filters (2x FILT-20x20). (5) Tested all modes and BMS communication. Unit running efficiently -- current draw 15.2A (rated 16.8A). Next service due 2026-07-28."
33,17,25,Emergency lighting compliance test,Quarterly AS/NZS 2293.2 emergency lighting test. 18 units throughout facility. Must be done outside procedure hours (after 4pm or weekends). Previous test showed all units passing.,medium,assigned,10,2026-03-10,2026-03-17,,2.5,,,
34,2,4,Coolroom condenser clean,Preventive condenser cleaning on Kitchen B1 Coolroom 1 Bitzer 4FES-5Y. Part of quarterly maintenance cycle. Kitchen manager to clear access to condenser area.,low,completed,1,2026-01-20,2026-01-22,2026-01-22,1.5,1.5,Condenser coil heavily fouled with grease and kitchen exhaust residue. Airflow reduced approximately 30% based on pressure differential across coil. Condenser discharge pressure 17.5 bar (should be 15 bar at 35C ambient) -- running warm due to restricted airflow. Fan motor current 2.8A (rated 3.0A -- acceptable).,"Deep-cleaned condenser coil with alkaline degreaser and low-pressure water rinse. Post-clean discharge pressure dropped to 15.2 bar -- back to normal range. Fan motor bearings checked -- smooth, no play. Replaced condenser fan capacitor as preventive measure (old one tested at 4.2uF, rated 5uF -- 16% low). Recommended: monthly condenser wipe-down by kitchen staff between quarterly cleans to prevent grease buildup. Installed protective mesh screen over condenser intake to reduce contamination rate."
35,14,,General electrical inspection -- Unit 3,Tenant in Unit 3 (Springwood Industrial Estate) requesting electrical safety inspection. Note: site contract expired 2025-10-31 -- will need ad-hoc billing. Old Carrier cassette unit decommissioned -- check if power circuits were properly isolated.,medium,open,,2026-03-08,,,3.0,,,
36,4,6,Freezer compressor motor replacement,Follow-up to WO-3. Condenser fan motor confirmed seized. Replacement motor sourced from warehouse. Return visit to complete repair. Freezer running on temporary portable cooling. Product temp holding at -15C (still above setpoint but stable).,emergency,in_progress,1,2026-03-14,2026-03-14,,4.0,,Confirmed seized condenser fan motor -- bearing failure. Motor model: 300W 3-phase 415V 50Hz. Replacement motor FM-300W matches spec. Contactor CONT-40A also showing pitting on contacts -- replacing preventively.,
37,13,20,Solar inverter fault diagnosis,Fronius Symo 15.0 inverter showing state 509 (insulation fault) error. Solar production has stopped. System installed 2023 -- within warranty.,medium,completed,2,2026-02-05,2026-02-08,2026-02-08,2.0,2.0,"Fronius state 509: insulation resistance to ground below threshold. Tested string isolation: String 1 = 2.8 MOhm (pass, >1 MOhm), String 2 = 0.3 MOhm (fail, <1 MOhm). Isolated issue to String 2, Panel 8 of 12. Panel junction box showing moisture ingress -- silicone seal failed around cable gland. DC connector showing oxidation.","Replaced damaged DC connector on String 2, Panel 8. Resealed junction box cable glands with UV-resistant silicone. Post-repair insulation test: String 2 = 15.6 MOhm (pass). Inverter cleared error and resumed production -- generating 12.3kW at time of departure (rated 15kW, cloud cover present). Submitted warranty claim to Fronius for defective panel junction box (warranty ref FRO-WAR-2026-1187). Recommended: visual inspection of all panel junction boxes at next scheduled maintenance."
38,5,9,AC indoor unit clean -- cancelled,Scheduled cleaning of Mitsubishi indoor unit following WO-20 recommendation. Customer requested 6-month follow-up.,low,cancelled,,2026-02-25,2026-03-05,,1.5,,,Customer travelling overseas March 1-20. Requested reschedule to April. Cancelled and will rebook when customer confirms return date.
39,11,14,Coolroom compressor quarterly service,Quarterly service due on Murarrie Bakery Coolroom 1 Bitzer 4TES-12Y. Coolroom door seal was replaced in WO-13 (scheduled 2026-03-16). Schedule compressor service for following week. 48hr notice required.,medium,open,,2026-03-13,,,2.0,,,
40,10,18,Classroom AC urgent repair -- cancelled,Teacher reported AC in Classroom 3 not cooling. Students uncomfortable. Initially marked for immediate attention.,medium,cancelled,,2026-03-01,2026-03-05,,2.0,,,School IT coordinator identified that AC remote was set to fan-only mode. Reset to cooling mode -- now operating correctly. No technician visit required. Cancelled.
